distance;group
7;arbitrary
5;arbitrary
9;arbitrary
6;arbitrary
7;arbitrary
10;arbitrary
5;arbitrary
5;arbitrary
5;arbitrary
6;arbitrary
7;arbitrary
8;arbitrary
6;arbitrary
7;arbitrary
6;arbitrary
7;arbitrary
6;arbitrary
6;arbitrary
7;arbitrary
7;arbitrary
6;arbitrary
9;arbitrary
10;arbitrary
7;arbitrary
4;arbitrary
6;arbitrary
8;arbitrary
5;arbitrary
6;arbitrary
7;arbitrary
8;arbitrary
7;arbitrary
9;arbitrary
4;arbitrary
6;arbitrary
10;arbitrary
8;arbitrary
10;arbitrary
5;arbitrary
4;arbitrary
6;arbitrary
7;arbitrary
8;arbitrary
8;arbitrary
3;arbitrary
6;arbitrary
4;arbitrary
7;arbitrary
8;arbitrary
6;arbitrary
10;arbitrary
4;arbitrary
5;arbitrary
9;arbitrary
6;arbitrary
6;arbitrary
7;arbitrary
10;arbitrary
9;arbitrary
4;arbitrary
7;arbitrary
7;arbitrary
7;arbitrary
8;arbitrary
7;arbitrary
6;arbitrary
4;arbitrary
6;arbitrary
7;arbitrary
5;arbitrary
6;arbitrary
4;arbitrary
8;arbitrary
4;arbitrary
7;arbitrary
6;arbitrary
6;arbitrary
5;arbitrary
8;arbitrary
7;arbitrary
4;arbitrary
7;arbitrary
7;arbitrary
8;arbitrary
8;arbitrary
8;arbitrary
8;arbitrary
11;arbitrary
5;arbitrary
9;arbitrary
5;arbitrary
6;arbitrary
8;arbitrary
7;arbitrary
8;arbitrary
6;arbitrary
8;arbitrary
7;arbitrary
5;arbitrary
7;arbitrary
8;arbitrary
6;arbitrary
7;arbitrary
4;arbitrary
8;arbitrary
10;arbitrary
8;arbitrary
5;arbitrary
6;arbitrary
9;arbitrary
7;arbitrary
7;arbitrary
7;arbitrary
8;arbitrary
5;arbitrary
7;arbitrary
5;arbitrary
7;arbitrary
7;arbitrary
8;arbitrary
7;arbitrary
8;arbitrary
5;arbitrary
4;arbitrary
7;arbitrary
5;arbitrary
7;arbitrary
7;arbitrary
9;arbitrary
7;arbitrary
12;arbitrary
